sample	species	fq	samples
CPAR1_001	Calibrachoa parviflora	fastqs/CPAR1_L3_R1_001_fWMVNybTrRVu.fastq.gz	CPAR1_L3_R1_001_fWMVNybTrRVu
CPAR1_002	Calibrachoa parviflora	fastqs/CPAR1_L3_R1_002_jG3DHWoXLD2C.fastq.gz	CPAR1_L3_R1_002_jG3DHWoXLD2C
CPAR1_003	Calibrachoa parviflora	fastqs/CPAR1_L3_R1_003_zt1MU6wY9BB9.fastq.gz	CPAR1_L3_R1_003_zt1MU6wY9BB9
CPAR1_004	Calibrachoa parviflora	fastqs/CPAR1_L3_R1_004_4S4C1dCAJnhP.fastq.gz	CPAR1_L3_R1_004_4S4C1dCAJnhP
CPAR1_005	Calibrachoa parviflora	fastqs/CPAR1_L3_R1_005_sq6UMYXkDuY4.fastq.gz	CPAR1_L3_R1_005_sq6UMYXkDuY4
CPAR1_006	Calibrachoa parviflora	fastqs/CPAR1_L3_R1_006_bQ4F9RCppoS2.fastq.gz	CPAR1_L3_R1_006_bQ4F9RCppoS2
CPAR2_001	Calibrachoa parviflora	fastqs/CPAR2_L4_R1_001_BZBapV4aDPHC.fastq.gz	CPAR2_L4_R1_001_BZBapV4aDPHC
CPAR2_002	Calibrachoa parviflora	fastqs/CPAR2_L4_R1_002_LCiQv7PgzLuJ.fastq.gz	CPAR2_L4_R1_002_LCiQv7PgzLuJ
CPAR2_003	Calibrachoa parviflora	fastqs/CPAR2_L4_R1_003_h7Rg95xjkM9R.fastq.gz	CPAR2_L4_R1_003_h7Rg95xjkM9R
CPAR2_004	Calibrachoa parviflora	fastqs/CPAR2_L4_R1_004_YcxIeDFVT9AI.fastq.gz	CPAR2_L4_R1_004_YcxIeDFVT9AI
CPAR2_005	Calibrachoa parviflora	fastqs/CPAR2_L4_R1_005_pc9yoKcVRYoD.fastq.gz	CPAR2_L4_R1_005_pc9yoKcVRYoD
CPAR2_006	Calibrachoa parviflora	fastqs/CPAR2_L4_R1_006_Ye4sN72v9Wnk.fastq.gz	CPAR2_L4_R1_006_Ye4sN72v9Wnk
CPAR3_001	Calibrachoa parviflora	fastqs/CRAP3_L5_R1_001_2SW050hOcnb7.fastq.gz	CRAP3_L5_R1_001_2SW050hOcnb7
CPAR3_002	Calibrachoa parviflora	fastqs/CRAP3_L5_R1_002_X07iYSEmvs4E.fastq.gz	CRAP3_L5_R1_002_X07iYSEmvs4E
CPAR3_003	Calibrachoa parviflora	fastqs/CRAP3_L5_R1_003_vdvGZLR7gK6a.fastq.gz	CRAP3_L5_R1_003_vdvGZLR7gK6a
